id,culture_or_region,motif_family,visual_form,symbolic_role,material_context,confusion_risk,prompt_tags
egyptian_lotus_border,egyptian,floral,alternating lotus and papyrus forms in horizontal band,upper/lower Egypt emblems (context-dependent),carved stone; painted plaster,generic floral border; Greek palmette,egyptian lotus papyrus border column
egyptian_winged_disk,egyptian,cosmology,central disk with outstretched wings and flanking uraei,royal/divine protection,carved stone lintels; gold inlay pectorals,Assyrian winged disk; generic winged emblem,egyptian winged disk solar pectoral lintel
egyptian_scarab,egyptian,fauna,beetle form with spread wings; compact rounded body,solar rebirth (khepri association),faience amulets; gold pectorals; carved seals,generic beetle; fantasy glowing scarab,egyptian scarab khepri amulet pectoral
mesoamerican_stepped_fret,mesoamerican,geometric,angular spiral with 90-degree turns; rectilinear border,architectural border; wind/water association (debated),carved stone; painted stucco; codex painting,Greek meander; generic zigzag,mesoamerican stepped fret xicalcoliuhqui border
mesoamerican_feathered_serpent,mesoamerican,fauna,serpent body with quetzal feathers; open jaws; no legs/wings,Quetzalcoatl/Kukulkan; wind and creation (varies),architectural sculpture; carved stone; stucco,European dragon; Chinese dragon; generic serpent,mesoamerican feathered serpent Quetzalcoatl sculpture
chinese_dragon,east_asian/chinese,fauna,serpentine body; four clawed legs; antlers; whiskers; no wings,imperial authority; rain and water; auspicious power,silk brocade; ceramic; jade; painted scroll,European dragon; Japanese ryu; generic dragon,chinese dragon long imperial cloud serpentine
japanese_seigaiha,east_asian/japanese,geometric,overlapping concentric arcs in scalloped rows,calm seas; good fortune (conventional),stencil-dyed textile; ceramic; lacquer,generic scallop; Art Deco fan,japanese seigaiha wave textile repeat
japanese_asanoha,east_asian/japanese,geometric,hexagonal star tessellation; six-pointed repeat,growth and health (conventional),stencil-dyed cotton; woven textile; paper,Islamic hexagonal tiling; generic star,japanese asanoha hemp leaf hexagonal textile
islamic_star_tessellation,islamic_world,geometric,interlocking star polygons (6/8/10/12-fold); girih strapwork,architectural decoration; cosmic order (debated),cut-tile mosaic; carved stucco; inlaid wood,generic geometric pattern; Gothic tracery,islamic geometric tessellation star polygon zellige girih
islamic_arabesque,islamic_world,floral,scrolling bifurcating vine; abstracted leaves and flowers,surface fill; paradise-garden association (context-dependent),carved stucco; painted tile; manuscript illumination,European rinceau; generic vine pattern,islamic arabesque islimi vegetal scroll
islamic_muqarnas,islamic_world,architecture,stalactite-like 3D vaulting; nested niche elements,architectural transition (square to dome),carved stucco; brick; painted wood,generic honeycomb; 3D-printed geometric,islamic muqarnas stalactite vault dome portal
islamic_calligraphic,islamic_world,calligraphic,Arabic script as visual ornament; Kufic angular; Naskh curvilinear,textual meaning + visual decoration,architecture; ceramic; metalwork; manuscript,generic Arabic text; decorative squiggles,islamic calligraphy Kufic Naskh Thuluth
celtic_interlace,european/celtic,geometric,ribbon-like interlacing bands; continuous over-under weaving,primarily compositional; eternity knot is modern interpretation,manuscript illumination; carved stone; metalwork,Islamic girih; Norse beast interlace; generic Celtic,celtic insular interlace knotwork manuscript stone
european_acanthus,european/greco-roman,floral,deeply curved scrolling leaf forms; continuous vine,compositional (capitals; friezes; borders),carved stone; manuscript; stucco; painted fresco,Islamic arabesque; generic vine,european greek roman acanthus scroll capital frieze
european_gothic_tracery,european/gothic,architecture,pointed-arch geometry; branching mullions; quatrefoils,architectural window structure; surface ornament,carved stone; stained glass; manuscript; wood,Islamic geometric; generic medieval,european gothic tracery pointed arch rose window
european_meander,european/greek,geometric,angular continuous line in running border band,compositional border (primarily),carved stone moldings; painted ceramic; mosaic,Mesoamerican stepped fret; generic zigzag,european greek meander key border molding
slavic_khokhloma,slavic_and_eurasian/russian,floral,curvilinear red/gold vegetal scrolls on black lacquer,decorative; domestic,painted lacquered wood (bowls; trays; boxes),Palekh (figural; not vegetal); generic Russian,russian khokhloma lacquer gold red vegetal
slavic_cross_stitch,slavic_and_eurasian,textile,angular grid-constrained diamonds/crosses/zigzags; bilateral symmetry,domestic/ritual textile; protective associations (debated),counted-thread embroidery on linen,Scandinavian embroidery; generic folk,slavic cross-stitch embroidery geometric linen
slavic_tree_of_life,slavic_and_eurasian,floral,central tree/plant flanked by birds or animals,fertility; renewal; domestic blessing (common folk interpretation),embroidery; carved wood; painted objects,generic tree motif; other traditions' world trees,slavic tree of life flanking birds embroidery
norse_beast_interlace,european/norse,fauna,interlacing animal forms (gripping beasts; serpents),ornamental; mythic reference,carved stone; metalwork; carved wood,Celtic interlace (no animals); generic knotwork,norse viking beast interlace gripping runestone
hindu_deity_iconography,south_asian/hindu,deity,prescribed poses; hand positions (mudras); attributes; mounts,divine representation within iconographic programs,carved stone; bronze; manuscript painting,Buddhist deity forms; generic Indian art,hindu deity mudra iconography temple sculpture
islamic_medallion_carpet,islamic_world,textile,lobed or pointed-oval central medallion; field fill; border bands,decorative; status object,woven wool/silk carpet,generic oriental rug; conflation of Persian/Turkish/Caucasian,islamic carpet medallion field border persian turkish
